compoundName,symmetryGroupNumber,symmetryGroupNameHTML,topologicalClassificationShortDescription,topologicalSubClassificationShortDescription,smCrossingType,topologicalIndices,similarICSD
O4 Pt3,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],[27836]
O4 Ru1,15,<i>C</i>2/<i>c</i>,trivial,LCEBR,None,[],[415306]
O4 Sb2,15,<i>C</i>2/<i>c</i>,trivial,LCEBR,None,[],"[63272, 88619, 153156, 153157]"
O4 Sb2,227,<i>Fd</i>-3<i>m</i>,SM,ESFD,Point,[],[31103]
O4 Sb2,227,<i>Fd</i>-3<i>m</i>,trivial,LCEBR,None,[],[24244]
O4 Sb2,33,<i>Pna</i>2<sub>1</sub>,trivial,LCEBR,None,[],"[919, 4109, 63271, 153154, 153155]"
O4 Sn3,13,<i>P</i>2/<i>c</i>,TI,NLC,None,"[{'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]",[174299]
O5 Sb2,15,<i>C</i>2/<i>c</i>,trivial,LCEBR,None,[],"[1422, 8050]"
O5 Se2,14,<i>P</i>2<sub>1</sub>/<i>c</i>,trivial,LCEBR,None,[],[10471]
O5 Ta2,15,<i>C</i>2/<i>c</i>,trivial,LCEBR,None,[],[280396]
O5 Ta2,5,<i>C</i>2,trivial,LCEBR,None,[],[280397]
O5 Te2,4,<i>P</i>2<sub>1</sub>,trivial,LCEBR,None,[],[2523]
O5 Ti3,12,<i>C</i>2/<i>m</i>,TI,NLC,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]",[75194]
O5 Ti3,12,<i>C</i>2/<i>m</i>,trivial,LCEBR,None,[],"[15894, 26492, 647543]"
